OBJECTID,FID_garages_buffer,OID_,CIT_CODE,FAC_CODE,LotName,AggieMap,Name,LotType,ORIG_FID,X,Y,BUFF_DIST,FID_Structures,Number,Abbrev,Private,Type,Bldg,BldgAbbr,BldgName,YearBuilt,NumFloors,Address,City,Zip,MapDisplay,NEAR_FID,NEAR_DIST,Shape_Length,Shape_Area
1,1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,100.000000000000000,156, ,,No,UNIVERSITY,,,,,,,,, |  | ,1,58.036613124711508,0.000254969371739,0.000000003390719
2,1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,100.000000000000000,157, ,,No,UNIVERSITY,,,,,,,,, |  | ,1,59.052915395059777,0.000418734961949,0.000000010024867
3,1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,100.000000000000000,316,0378,SSPG,No,GARAGE,0378,SSPG,South Side Parking Garage,1990,04,750 Bizzell St,College Station,77843,South Side Parking Garage | SSPG | 0378,1,0.000000000000000,0.005382745140451,0.000001368395025
4,1,-1,20200,SSG,Southside Garage,1,SSG,Garage,1,-96.333619999999996,30.613730000000000,100.000000000000000,323, ,,No,UNIVERSITY,,,,,,,,, |  | ,1,55.342825271243093,0.000258294124011,0.000000003532695
5,2,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,100.000000000000000,105,0468,LIBR,No,LIBRARY,0468,LIBR,Evans Library,1929,07,400 Spence St,College Station,77843,Evans Library | LIBR | 0468,2,41.980755616895976,0.003644778970347,0.000000293227408
6,2,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,100.000000000000000,212,0357,,No,UNIVERSITY,0357,,Vending Machine Booth,1999,01,408 Spence St,College Station,77843,Vending Machine Booth |  | 0357,2,38.350024413582680,0.000301507753156,0.000000005123430
7,2,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,100.000000000000000,428,0469,CCPG,No,GARAGE,0469,CCPG,Central Campus Parking Garage,1999,08,450 Spence St,College Station,77843,Central Campus Parking Garage | CCPG | 0469,2,0.000000000000000,0.002209149434343,0.000000262770550
8,2,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,100.000000000000000,681,0470,GLAS,No,ACADEMIC,0470,GLAS,Melbern G. Glasscock Building,1921,04,398 Spence St,College Station,77843,Melbern G. Glasscock Building | GLAS | 0470,2,91.177824709321712,0.000576414316887,0.000000016769731
9,2,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,100.000000000000000,683,0472,AIEN,No,ACADEMIC,0472,AIEN,AI Engineering Building,1932,06,423 Spence St,College Station,77843,AI Engineering Building | AIEN | 0472,2,78.411530908558134,0.001785406291396,0.000000078657794
10,2,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,100.000000000000000,688,0516,CSC,No,ACADEMIC,0516,CSC,Computing Services Center,1959,03,731 Lamar St,College Station,77843,Computing Services Center | CSC | 0516,2,62.836568471458250,0.001551028462121,0.000000128960563
11,2,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,100.000000000000000,694,0471,PAV,No,ACADEMIC,0471,PAV,Pavilion,1916,02,424 Spence St,College Station,77843,Pavilion | PAV | 0471,2,27.933678879942338,0.001803635634132,0.000000177033316
12,2,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,100.000000000000000,758,0511,HLB,No,ACADEMIC,0511,HLB,HEEP Laboratory Building,1957,05,645 Lamar St,College Station,77843,HEEP Laboratory Building | HLB | 0511,2,32.422724403299661,0.001745311179934,0.000000122633074
13,2,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,100.000000000000000,772,0444,PETR,No,ACADEMIC,0444,PETR,Peterson Building,1963,05,435 Nagle St,College Station,77843,Peterson Building | PETR | 0444,2,88.038601709436946,0.001837076068589,0.000000071347648
14,2,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,100.000000000000000,1024,0275,LAAH,No,ACADEMIC,0275,LAAH,Liberal Arts and Arts & Humanities Building,2012,05,399 Spence St,College Station,77843,Liberal Arts and Arts & Humanities Building | LAAH | 0275,2,94.496722788964107,0.000287146728896,0.000000003142913
15,2,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,100.000000000000000,1154,0459,EABB,No,ACADEMIC,0459,EABB,Engineering Activities Bldg B,1949,01,620 Lamar St,College Station,77843,Engineering Activities Bldg B | EABB | 0459,2,91.211784711482366,0.000597107949753,0.000000010741542
16,2,-1,20400,CCG,Central Campus Garage,1,CCG,Garage Visitor,2,-96.337770000000006,30.616499999999998,100.000000000000000,1155,0460,EABA,No,ACADEMIC,0460,EABA,Engineering Activities Bldg A,1954,01,646 Lamar St,College Station,77843,Engineering Activities Bldg A | EABA | 0460,2,87.648165292759387,0.001153407640006,0.000000041783176
